88524610,Rua Terezinha Amaral Diehl,Vila Mariza,4940,24
88524620,Rua Valdir Martelo,Vila Mariza,4940,24
88524630,Rua Jaci Elias Andrade,Vila Mariza,4940,24
88524635,Rua Padre Leonardo Eckel,Vila Mariza,4940,24
88524640,Rua Nazaré,Vila Mariza,4940,24
88524645,Rua Damasco,Vila Mariza,4940,24
88524650,Rua Israel,Vila Mariza,4940,24
88524655,Rua Galiléia,Vila Mariza,4940,24
88524660,Rua Monte Sinai,Vila Mariza,4940,24
88524665,Rua Jericó,Vila Mariza,4940,24
88524670,Rua Gaza,Vila Mariza,4940,24
88524675,Rua Padre Luiz Lovato,Vila Mariza,4940,24
88524680,Rua Nilton Cezaro Melegari,Vila Mariza,4940,24
88524690,Rua Félix Tomazelli,Chapada,4940,24
88524695,Rua Dilnei Vieira Velho,Chapada,4940,24
88524720,Avenida Irmãos Marques,Chapada,4940,24
88524732,Rua Henrique Nunes,Chapada,4940,24
88524736,Rua Ângelo Luiz Ortolan,Chapada,4940,24
88524738,Rua Luiz Costa Faxina,Chapada,4940,24
88524750,"Rua Bruno Luersen, de 1/2 ao fim",Chapada,4940,24
88524755,"Rodovia BR-282, de 1/2 a 99998/99999",Chapada,4940,24
88524765,Rodovia SC-438,Chapada,4940,24
88524900,"Aeroporto Federal Guarujá, Rodovia BR-282, s/n",Guarujá,4940,24
88525000,Avenida Manoel Antunes Pessoa,São Miguel,4940,24
88525010,Rua Osvaldo Cabral,São Miguel,4940,24
88525020,Rua Esperanto,São Miguel,4940,24
88525030,Rua Artur Ramos,São Miguel,4940,24
88525040,Rua João Francisco Veloso,São Miguel,4940,24
88525050,Rua Felipe Camarão,São Miguel,4940,24
88525055,Rua Manoel Inácio Martins,São Miguel,4940,24
88525060,Rua Bernardo Gonçalves Kuster,São Miguel,4940,24
88525070,Rua Catulo da Paixão Cearense,São Miguel,4940,24
88525080,Rua João Caetano,São Miguel,4940,24
88525090,Rua Nina Rodrigues,São Miguel,4940,24
88525100,Rua Araribóia,São Miguel,4940,24
88525110,Rua Onofre de Oliveira Ramos,São Miguel,4940,24
88525120,Rua Dimas Muniz,São Miguel,4940,24
88525130,Rua Itapoá,São Miguel,4940,24
